"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"84","2","2","2","2","2","2","2","1","2","1","2","2","1","2","2","2","1","1","1","1","2","1","2","1","2","2","1","2","2","1","1","1","2","2","1","2","1","2","3","2","4","1","2","5","3","5","7","3","6","4","8","5","6"
"85","2","2","2","1","1","2","1","2","2","1","2","2","2","1","2","1","2","2","2","1","2","2","1","2","1","2","2","1","2","1","2","2","2","1","2","1","2","2","4","2","1","3","5","3","3","5","1","4","3","8","5","3","1"
"86","2","2","2","1","1","2","2","1","1","2","2","1","2","2","1","1","1","1","1","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","1","1","1","4","1","3","2","2","7","2","4","5","2","3","6","3","4","7"
"87","2","1","2","1","2","1","1","1","1","1","1","2","2","1","1","1","1","2","2","1","2","1","2","1","1","1","2","1","2","1","1","1","2","2","1","1","1","1","1","1","1","1","7","4","2","2","1","3","4","7","7","2","8"
"88","2","2","2","2","2","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","4","1","3","2","8","8","8","8","8","8","8","8","8","8","8"
"89","2","1","1","1","1","1","2","2","1","2","2","1","2","2","2","1","2","1","2","2","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","2","2","1","2","1","4","3","2","4","3","8","1","8","7","2","2","5","5"
"90","2","2","1","1","2","2","2","1","2","2","1","1","2","2","1","1","1","1","2","2","1","2","2","2","1","2","1","1","1","2","1","2","1","2","2","2","1","2","3","2","4","1","4","3","2","3","1","7","8","1","4","8","4"
"91","1","1","1","1","2","2","2","1","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","1","1","1","2","2","1","2","2","1","2","1","2","1","2","2","2","3","1","4","3","1","3","2","4","7","6","1","8","4","7"
"92","2","2","2","1","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","1","1","1","1","2","2","1","1","1","1","2","1","2","1","2","2","3","2","4","1","8","6","5","1","6","5","1","2","3","1","5"
"93","1","2","2","1","2","1","2","2","1","1","1","2","2","1","2","2","1","1","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","1","2","1","2","4","3","2","1","3","6","2","6","8","1","2","5","5","5","5"
